t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
53.8,3,0,-0.0399273261427879,0.0781471505761147,0.000353536917828023,0.921499311923981,6.47075517213591e-18,0.990164816379547,0.00983519479632378,0.921499311923981,0.990164816379547,0,0,0.120032840236092
54,1,1,-0.0639547780156136,0.903823554515839,0.00320615293458104,0.0929702892899513,1.13623700289392e-19,0.294605940580368,0.70539402961731,0.903823554515839,0.70539402961731,0,0,0.120376721210298
54.2,3,0,-0.0623073279857635,0.318243145942688,3.60590856871568e-05,0.681720733642578,2.25399024802748e-15,0.997382581233978,0.00261741224676371,0.681720733642578,0.997382581233978,0,0,0.120623800563549
54.4,1,0,-0.0562751963734627,0.990289211273193,0.000204192008823156,0.00950661208480597,5.82984694813339e-19,0.997055530548096,0.00294448924250901,0.990289211273193,0.997055530548096,0,0,0.120801327706318
54.6,1,0,-0.0567592456936836,0.999379277229309,8.26508403406478e-05,0.000538030872121453,7.83638186999754e-19,0.981637537479401,0.0183624904602766,0.999379277229309,0.981637537479401,0,0,0.120928881409228
54.8,1,0,-0.0547515451908112,0.999583065509796,6.84758997522295e-05,0.000348383997334167,4.32603311149987e-19,0.945175111293793,0.0548248775303364,0.999583065509796,0.945175111293793,0,0,0.121020529068691
55,1,0,-0.0548753589391708,0.994516909122467,0.000602868793066591,0.00488021830096841,3.86648930328085e-19,0.99796187877655,0.00203814194537699,0.994516909122467,0.99796187877655,0,0,0.121086378144754
55.2,1,0,-0.0657238066196442,0.987897932529449,0.000415541493566707,0.0116864647716284,9.19454677834849e-19,0.991582214832306,0.00841775164008141,0.987897932529449,0.991582214832306,0,0,0.121133690873129
55.4,3,0,-0.0660449042916298,0.193649366497993,0.00490899430587888,0.801441669464111,2.21642941736007e-18,0.990388333797455,0.00961170811206102,0.801441669464111,0.990388333797455,0,0,0.121167685188618
55.6,3,0,-0.0678154304623604,0.185187384486198,0.0147723378613591,0.800040304660797,1.37646718413248e-19,0.993906915187836,0.00609314814209938,0.800040304660797,0.993906915187836,0,0,0.121192110190624
55.8,3,0,-0.074957586824894,0.296720683574677,0.0240795277059078,0.679199814796448,2.23622203996088e-19,0.996154010295868,0.00384602090343833,0.679199814796448,0.996154010295868,0,0,0.121209659616593
56,3,0,-0.0838898792862892,0.124915063381195,0.0336622931063175,0.841422617435455,2.35033961877475e-18,0.978670656681061,0.0213293451815844,0.841422617435455,0.978670656681061,0,0,0.121222268923719
56.2,3,0,-0.0646959841251373,0.0555695220828056,0.0165663827210665,0.927864134311676,4.05948067315198e-18,0.999620795249939,0.000379136909032241,0.927864134311676,0.999620795249939,0,0,0.12123132874291
